Mã,EPS_TTM
ACB,3041.8033012060423
BCM,3370.4973096859903
BID,4266.545771906262
BVH,3979.777838950928
CTG,5320.713268959984
FPT,5691.447846397756
GAS,4764.720904310278
GVR,1382.4376227615
HDB,3874.8613578168906
HPG,2012.9181888396272
MBB,3585.4272036408133
MSN,2842.749396706028
MWG,4777.0647883587535
PLX,2121.980740822015
POW,868.9308377827624
SAB,3448.9861227084243
SHB,2713.3680131657934
SSB,1936.5690685413006
SSI,1815.3558613567723
STB,3150.361494228069
TCB,3571.4618517782355
TPB,2720.0343729035058
VCB,4210.091297740926
VHM,10008.040819856356
VIB,2221.384358823799
VIC,2542.3541347498976
VJC,3587.7168793507262
VNM,4502.584813090118
VPB,3023.715781303501
VRE,2836.7164441536165
